Province,Basic (l�S),,,,,Basic (6-ll),,Secondary (9-10),,,,Secondary (11 12),,
,Girls%,Boys%,Total %,Girls%,,Boys%,Total %,Girl.s%,,Boys%,Total %,Girl.s%,Boys%,Total %
Province 1,14.8,14.9,14.8,16.7,16.7,,16.7,17.2,,16.6,16.9,20.4,17.1,18.9
Province2,20.5,19.9,20.2,13.9,13.6,,13.7,12.2,,13,12.6,12.S,13.5,13
Province 3,17.8,18.1,17.9,21,21.4,,21.2,22.3,,22.8,22.6,19.1,19.1,19.1
Gandaki,8.4,8.3,8.3,10.S,10.5,,10.S,11.5,,11.5,11.5,13.1,13.1,13.1
Province 5,18.2,18.6,18.4,17.8,18,,17.9,16.8,,16.9,16.9,16,16.9,16.4
Karnali,8.5,8.5,8.5,8.3,8.2,,8.2,7.6,,7.3,7.4,4.9,5.8,5.3
Province 7,11.8,11.8,11.8,11.8,11.6,,11.7,12.4,,12,12.2,14,14.5,14.2
Total,100,100,100,100,100,,100,100,,100,100,100,100,100
