SN,University,Bachelor,PGD,Master,M.Phil,Ph. D,Total
1,Tribhuvan University,251657,0,32289,30,477,284453
2,NepalSanskrit University,919,0,252,0,300,1471
3,Kathmandu University,14450,135,1444,496,133,16658
4,Purbanchal University,21335,0,2204,0,0,23539
5,Pokhara University,23636,0,2339,48,9,26032
6,Lumbini Bauddha University,0,0,196,0,0,196
7,Agriculture and Forestry University,1161,0,378,0,44,1583
8,Mid Western University,2160,0,886,0,0,3046
9,Far Western University,2004,0,207,0,0,2211
10,BP Koirala Institute for Health Sciences,1081,0,367,0,0,1.448
11,National Academy of Medical Sciences,0,0,90,0,0,90
12,Patan Academy of Health Science,350,0,0,0,0,350
13,KarnaliAcademy Health Sciences,0,0,0,0,0,0
14,NepalOpen University,0,0,0,0,0,0
15,Rajarshi Janak University,0,0,0,0,0,0
,Total,318753,135,40652,574,963,361077
